,State,City,Area,Year,Season,SO2,NO2,RSPM,SPM,PM_2.5
48,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2013.0,Autumn,4.29,16.29,101.44,,
49,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2013.0,Spring,4.0,13.5,105.46,,
50,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2013.0,Summer,6.0,15.04,101.89,,
51,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2013.0,Winter,6.0,16.0,200.4,,
52,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2014.0,Autumn,,,154.47,,
53,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2014.0,Spring,,,122.42,,
54,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2014.0,Summer,,,103.29,,
55,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2014.0,Winter,,,94.1,,
56,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2015.0,Autumn,5.0,24.7,66.74,,
57,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2015.0,Spring,4.89,22.0,76.56,,
58,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2015.0,Summer,5.0,22.72,78.93,,
59,Andhra Pradesh,Eluru,"Residential, Rural and other Areas",2015.0,Winter,5.0,23.56,86.96,,
60,Andhra Pradesh,Guntur,Residential and others,2009.0,Autumn,4.0,9.0,83.9,216.95,
61,Andhra Pradesh,Guntur,Residential and others,2009.0,Spring,4.0,9.0,80.0,198.5,
62,Andhra Pradesh,Guntur,Residential and others,2009.0,Summer,4.0,9.0,88.64,217.27,
63,Andhra Pradesh,Guntur,Residential and others,2009.0,Winter,4.0,9.0,92.6,238.0,
64,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2010.0,Autumn,2.0,10.89,77.67,,
65,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2010.0,Spring,2.0,11.21,85.93,,
66,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2010.0,Summer,2.0,11.2,79.5,,
67,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2010.0,Winter,2.0,11.85,80.56,,
68,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2011.0,Autumn,4.06,9.6,74.57,188.95,
69,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2011.0,Spring,3.86,10.46,73.6,187.44,
70,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2011.0,Summer,3.55,9.81,74.47,187.71,
71,Andhra Pradesh,Guntur,"Residential, Rural and other Areas",2011.0,Winter,3.77,9.62,74.67,187.5,
